tle_age_days,error_km
0.25,0.288
0.5,0.2
0.75,0.659
1.0,1.355
1.5,2.033
2.0,2.666
0.25,0.28
0.5,0.52
0.75,0.863
1.0,1.365
1.5,1.677
2.0,2.133
0.25,0.083
0.5,0.088
0.75,0.851
1.0,1.512
1.5,409.405
0.25,0.43
0.5,0.734
0.75,1.131
1.0,389.406
0.25,0.822
0.5,283.71
0.75,440.573
0.25,0.421
0.5,0.88
0.75,1.402
1.0,2.074
1.5,4.87
2.0,8.142
2.5,13.088
3.0,18.519
3.5,25.755
4.0,35.729
4.5,46.05
5.0,57.951
5.5,70.956
6.0,86.004
6.5,102.481
7.0,120.933
0.25,0.414
0.5,0.873
0.75,1.396
1.0,2.067
1.5,4.864
2.0,8.136
2.5,13.081
3.0,18.513
3.5,25.748
4.0,35.722
4.5,46.043
5.0,57.944
5.5,70.95
6.0,85.997
6.5,102.474
7.0,120.926
0.25,0.084
0.5,0.248
0.75,0.174
1.0,1.06
1.5,1.7
2.0,3.853
2.5,6.538
3.0,9.858
3.5,14.748
4.0,20.561
4.5,27.796
5.0,35.665
5.5,43.046
6.0,53.371
6.5,64.621
7.0,77.413
0.25,0.29
0.5,0.057
0.75,0.51
1.0,0.543
1.5,0.627
2.0,2.145
2.5,4.182
3.0,6.781
3.5,10.637
4.0,15.339
4.5,21.509
5.0,28.15
5.5,34.011
6.0,42.774
6.5,52.517
7.0,63.569
0.25,0.336
0.5,0.748
0.75,1.099
1.0,1.263
1.5,2.323
2.0,4.761
2.5,8.241
3.0,12.721
3.5,17.439
4.0,23.5
4.5,31.77
5.0,39.342
5.5,48.152
6.0,59.471
6.5,71.85
7.0,85.631
0.25,0.584
0.5,0.63
0.75,1.167
1.0,1.56
1.5,2.987
2.0,5.461
2.5,9.278
3.0,14.476
3.5,19.639
4.0,25.893
4.5,35.243
5.0,43.237
5.5,52.77
6.0,64.613
6.5,77.826
7.0,92.777
0.25,1.102
0.5,1.581
0.75,1.81
1.0,2.083
1.5,3.918
2.0,7.327
2.5,11.717
3.0,16.867
3.5,22.263
4.0,30.534
4.5,38.904
5.0,47.597
5.5,57.718
6.0,70.654
6.5,84.822
7.0,99.319
0.25,0.159
0.5,0.14
0.75,0.245
1.0,0.338
1.5,0.299
2.0,1.607
2.5,4.273
3.0,6.344
3.5,8.794
4.0,12.816
4.5,16.509
5.0,20.83
5.5,26.057
6.0,33.265
6.5,41.23
7.0,49.805
0.25,0.168
0.5,0.153
0.75,0.239
1.0,0.332
1.5,0.285
2.0,1.593
2.5,4.257
3.0,6.327
3.5,8.775
4.0,12.795
4.5,16.485
5.0,20.804
5.5,26.029
6.0,33.234
6.5,41.196
7.0,49.767
0.25,0.231
0.5,0.444
0.75,0.7
1.0,0.745
1.5,1.507
2.0,3.844
2.5,6.254
3.0,8.388
3.5,12.065
4.0,15.278
4.5,19.847
5.0,25.173
5.5,31.074
6.0,39.187
6.5,47.374
7.0,56.233
0.25,0.225
0.5,0.437
0.75,0.693
1.0,0.739
1.5,1.501
2.0,3.838
2.5,6.248
3.0,8.382
3.5,12.059
4.0,15.271
4.5,19.841
5.0,25.167
5.5,31.067
6.0,39.18
6.5,47.368
7.0,56.227
0.25,0.165
0.5,0.217
0.75,0.19
1.0,0.148
1.5,0.992
2.0,1.61
2.5,2.822
3.0,4.538
3.5,4.924
4.0,6.734
4.5,9.043
5.0,12.501
5.5,16.749
6.0,20.909
6.5,25.93
7.0,30.918
0.25,0.171
0.5,0.223
0.75,0.196
1.0,0.15
1.5,0.985
2.0,1.603
2.5,2.816
3.0,4.531
3.5,4.917
4.0,6.727
4.5,9.037
5.0,12.495
5.5,16.743
6.0,20.902
6.5,25.923
7.0,30.911
0.25,0.091
0.5,0.274
0.75,1.244
1.0,1.554
1.5,2.001
2.0,2.986
2.5,4.799
3.0,5.434
3.5,6.91
4.0,9.106
4.5,12.561
5.0,16.901
5.5,20.461
6.0,25.238
6.5,30.1
7.0,34.948
